dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
B035,0.3512418948283573,0.43011466501036094,1.1396011396011396,4,47.64690742199027,97.64482431149098,20564.0,0,0.0
B036,0.2737054350595278,0.3302871699692704,1.4245014245014245,5,30.946631301667054,97.44782280099994,16762.0,0,0.0
B037,0.3215294962391801,0.44072513360379395,1.4245014245014245,5,36.28741617439563,97.8564645231312,7213.0,0,0.0
B038,0.35492816773292796,0.42909043698811306,1.4245014245014245,5,47.47634661389844,97.413112164297,34531.0,0,0.0
B039,0.35502855604401384,0.4308134283315487,1.1396011396011396,4,47.45075460679284,97.83037475345168,8928.0,0,0.0
B040,0.3191258496275299,0.3846344440521839,1.9943019943019942,7,38.27840022267443,97.20632699467753,38901.0,0,0.0
B041,0.2783352407136637,0.3572658421387659,1.4245014245014245,5,26.725240959984987,97.18766748469719,34454.0,0,0.0
B042,0.2686344525842176,0.3380987204336252,1.1396011396011396,4,33.63364124278018,97.24469989160302,38576.0,0,0.0
B043,0.3593971200426489,0.44222333513044815,0.5698005698005698,2,49.789641639178974,97.95597484276729,9968.0,0,0.0
B044,0.5236624313101564,0.6428658502525197,3.418803418803419,12,48.73423748985705,97.24615071559384,14337.0,0,0.0
B045,0.3270718550674507,0.41171508240144866,1.7094017094017095,6,30.011912472374586,97.47469784808884,9920.0,0,0.0
B046,0.3373645989813484,0.42992093301441137,0.8547008547008548,3,40.83432332831552,97.69003765136868,9600.0,0,0.0
B047,0.20535313575028422,0.26304315346385176,0.8547008547008548,3,24.353797552310986,97.35152487961477,24260.0,0,0.0
B048,0.29362723154649084,0.37996120047557874,1.9943019943019942,7,32.188889794132166,97.17167569232349,37861.0,0,0.0
B049,0.3610671308864377,0.47908733975254625,0.8547008547008548,3,56.41825571678131,97.95389795389795,7564.0,0,0.0
B050,0.4270729215464819,0.5450477001177305,1.4245014245014245,5,64.45905214435611,97.28043404543914,14344.0,0,0.0
B051,0.2890160725427777,0.3802794222618286,1.7094017094017095,6,31.581737379681012,97.21512247071352,36514.0,0,0.0
B052,0.36123199676434326,0.42416143077569135,0.8547008547008548,3,46.20592953237162,97.37906671984501,17091.0,0,0.0
B053,0.19935443543354003,0.23996490794442188,0.8547008547008548,3,20.659516077722937,97.30474588938715,20831.0,0,0.0
