dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
C060,0.05543214654376381,0.06858362582408857,0.8547008547008548,3,5.476055160611782,80.11893421090616,27754.0,0,0.0
C061,0.06935495256448655,0.0825802378820966,1.1396011396011396,4,7.070204565306734,75.54707713897294,17227.0,0,0.0
C062,0.06667105355441641,0.08474634959478144,0.5698005698005698,2,6.4757840117736,86.48913089717956,40662.0,0,0.0
C063,0.04659336677064026,0.05825826165141004,1.7094017094017095,6,4.729839410629983,70.21567092790677,80741.0,0,0.0
C064,0.06504017707159236,0.0813563165054775,1.1396011396011396,4,6.376589943762687,73.86514018403963,48002.0,0,0.0
C065,0.05639312471818742,0.07029650850551387,1.4245014245014245,5,5.589639904105868,71.96354110980434,80769.0,0,0.0
C066,0.06694163152407369,0.08278507268731046,1.4245014245014245,5,6.788695357669004,72.27650460906811,36616.0,0,0.0
C067,0.047686651845083326,0.06569232886943814,0.5698005698005698,2,4.710376620993812,86.78980295356854,40786.0,0,0.0
C068,0.053286903530211725,0.06633859988737954,1.4245014245014245,5,5.358325830810184,72.07907691432148,101323.0,0,0.0
C069,0.06096529018055722,0.07560365789122518,0.8547008547008548,3,6.104688602844291,80.34800713860797,27013.0,0,0.0
C070,0.056771912558161094,0.06922138150931731,1.1396011396011396,4,5.681131613011615,75.09611089549725,102552.0,0,0.0
C071,0.06432698156804771,0.0763002247627885,1.4245014245014245,5,6.500386280300316,71.903705433598,36947.0,0,0.0
C072,0.05556393795431617,0.07322923389031716,1.7094017094017095,6,5.374972562676474,70.2485828098667,73362.0,0,0.0
C073,0.052217303084187656,0.06418494306496085,0.5698005698005698,2,5.165700426576084,87.09621396318165,40120.0,0,0.0
C074,0.06815074421088574,0.08511814277266107,1.4245014245014245,5,7.0822653040125125,72.54615151820842,43149.0,0,0.0
C075,0.05054936360271228,0.06187480414326645,1.1396011396011396,4,5.088383764135866,74.21144695017587,39456.0,0,0.0
C076,0.05683575280535801,0.07163648179753505,1.1396011396011396,4,5.746627273462601,75.37502513573295,18742.0,0,0.0
C077,0.0547258599767934,0.0667004573201942,1.1396011396011396,4,5.428565828963645,75.00200787085375,18677.0,0,0.0
C078,0.055119038142613784,0.0677705028029836,1.4245014245014245,5,5.434468343067039,72.05165976882488,92443.0,0,0.0
C079,0.05408184998646944,0.06534485889306171,0.8547008547008548,3,5.401076009239678,80.69244128043749,65515.0,0,0.0
C080,0.06446599692619925,0.07798945642314907,0.8547008547008548,3,6.2976626860153315,80.4971170328814,61986.0,0,0.0
C081,0.06541675379001326,0.08308884230596811,1.1396011396011396,4,6.405079536486796,74.288824101069,95554.0,0,0.0
C082,0.07842401187929603,0.09585782758609251,0.5698005698005698,2,7.692824754313903,86.81706985593911,41522.0,0,0.0
