dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,expired_units_total,expired_rate,non_expired_negative_days,avg_non_expired_inventory,total_days,category
B048,0.23659685622238025,0.28021862711441925,1.4245014245014245,5,27.172439960085633,351,351,14,l2,10.921203032806282,12.934764092614875,3186.0,73.47785977859779,0,0.0,351,B
A090,0.039763478412540715,0.051071076534089335,1.1396011396011396,4,3.9288668125179145,351,351,14,l2,10.922155215697652,14.028104361266728,19394.0,73.79475666831551,0,0.0,351,A
A032,0.04058435000225421,0.049461109957653085,1.1396011396011396,4,4.097363877745859,351,351,14,l2,11.0026369729758,13.409174647721802,18999.0,73.63382683512906,0,0.0,351,A
C007,0.048983904596445936,0.0625058638374711,0.5698005698005698,2,5.005374043417754,351,351,14,l2,11.02500697157785,14.06844942741896,37261.0,86.88788359294843,0,0.0,351,C
A069,0.040959031480189756,0.048822951091077246,0.8547008547008548,3,4.156498297117382,351,351,14,l2,11.079709746384777,13.206956011953283,28484.0,80.7690126467419,0,0.0,351,A
A094,0.04084886323515639,0.050570227049839205,0.8547008547008548,3,4.048806208211939,351,351,14,l2,11.088662501165059,13.72758348585678,28861.0,80.9292804666031,0,0.0,351,A
B041,0.2169130645473416,0.26932544084881543,1.4245014245014245,5,21.79195320954923,351,351,14,l2,11.111387181086046,13.79621489020428,2906.0,69.38872970391596,0,0.0,351,B
C037,0.04833941838238822,0.057964104692072846,0.8547008547008548,3,4.866730237867337,351,351,14,l2,11.148089000619834,13.367744577247615,23657.0,80.3921568627451,0,0.0,351,C
B089,0.28023321403806656,0.33183009689339094,1.9943019943019942,7,31.838521878010432,351,351,14,l2,11.153441595760086,13.207026933335248,1826.0,65.00533997864008,0,0.0,351,B
A088,0.04113667101265078,0.050583808941303675,0.8547008547008548,3,4.184171842394789,351,351,14,l2,11.172415130954379,13.738187813577031,28329.0,80.5945945945946,0,0.0,351,A
A008,0.040989725207310916,0.051633793024451875,1.1396011396011396,4,4.074401643171314,351,351,14,l2,11.257810511211359,14.181199188442193,19693.0,74.14812304680146,0,0.0,351,A
C048,0.04511594717472725,0.053233983411586625,0.5698005698005698,2,4.5770258216543676,351,351,14,l2,11.28117189653643,13.311074136993513,42319.0,87.08867532360628,0,0.0,351,C
D7,0.08831155523476858,0.11695076250625354,0.0,0,9.183195614465692,351,351,14,l2,11.309665867117046,14.977361041078643,29.0,0.897554936552151,0,222.5099715099715,351,D
A099,0.041963073116367024,0.05260684881386998,0.8547008547008548,3,4.302384982993019,351,351,14,l2,11.359081099730426,14.240269305846805,27139.0,79.96876565400596,0,0.0,351,A
A047,0.0421038543105482,0.051510541665929,1.1396011396011396,4,4.3132182819931755,351,351,14,l2,11.361323239798468,13.899628043723075,20191.0,74.87854626367513,0,0.0,351,A
